,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
3111,a_a004679,A03,a004679,,10
3112,a_a003791,A03,a003791,자가용,10
3113,a_a002887,A01,a002887,대중교통 등,10
3114,a_a005825,A03,a005825,대중교통 등,10
3115,a_a006112,A03,a006112,자가용,10
3116,a_a001759,A01,a001759,대중교통 등,09
3117,a_a009742,A03,a009742,자가용,10
3118,a_a014130,A03,a014130,대중교통 등,10
3119,a_a007400,A03,a007400,,10
3120,a_a002060,A03,a002060,자가용,09
3121,a_a005996,A01,a005996,,10
3122,a_a017974,A03,a017974,,11
3123,a_a002472,A01,a002472,자가용,09
3124,a_a006707,A02,a006707,자가용,10
3125,a_a006203,A03,a006203,자가용,10
3126,a_a002840,A01,a002840,대중교통 등,09
3127,a_a011640,A02,a011640,자가용,10
3128,a_a000885,A03,a000885,자가용,09
3129,a_a017847,A03,a017847,,11
3130,a_a000643,A03,a000643,자가용,08
3131,a_a001474,A01,a001474,자가용,09
3132,a_a011277,A03,a011277,대중교통 등,10
3133,a_a000445,A01,a000445,대중교통 등,08
3134,a_a000360,A03,a000360,대중교통 등,08
3135,a_a007922,A01,a007922,,10
3136,a_a003554,A03,a003554,대중교통 등,10
3137,a_a008563,A02,a008563,자가용,10
3138,a_a007297,A03,a007297,,10
3139,a_a000934,A03,a000934,자가용,08
3140,a_a004066,A02,a004066,대중교통 등,10
3141,a_a009662,A01,a009662,대중교통 등,10
3142,a_a007845,A01,a007845,대중교통 등,10
3143,a_a008375,A02,a008375,대중교통 등,10
3144,a_a002465,A03,a002465,자가용,10
3145,a_a003300,A01,a003300,자가용,10
3146,a_a007229,A03,a007229,,11
3147,a_a004810,A03,a004810,자가용,10
3148,a_a006804,A03,a006804,자가용,10
3149,a_a002731,A03,a002731,대중교통 등,09
3150,a_a000179,A01,a000179,대중교통 등,08
3151,a_a005694,A02,a005694,자가용,10
3152,a_a009387,A03,a009387,,10
3153,a_a003262,A02,a003262,대중교통 등,09
3154,a_a010073,A03,a010073,대중교통 등,10
3155,a_a000086,A03,a000086,자가용,08
3156,a_a011622,A03,a011622,자가용,10
3157,a_a003650,A01,a003650,자가용,10
3158,a_a005145,A03,a005145,,10
3159,a_a008415,A03,a008415,자가용,10
3160,a_a007004,A01,a007004,대중교통 등,10
3161,a_a001158,A03,a001158,대중교통 등,09
3162,a_a006247,A01,a006247,자가용,10
3163,a_a012313,A03,a012313,자가용,10
3164,a_a007984,A01,a007984,,10
3165,a_a015355,A01,a015355,대중교통 등,11
3166,a_a005867,A01,a005867,대중교통 등,10
3167,a_a001084,A02,a001084,자가용,09
3168,a_a001885,A01,a001885,대중교통 등,09
3169,a_a010961,A03,a010961,자가용,10
3170,a_a011502,A01,a011502,대중교통 등,10
3171,a_a002986,A01,a002986,대중교통 등,09
3172,a_a006311,A03,a006311,,10
3173,a_a004024,A03,a004024,자가용,10
3174,a_a002897,A03,a002897,대중교통 등,10
3175,a_a006355,A01,a006355,대중교통 등,10
