,TRAVELER_ID,TRAVEL_STYL_1,TRAVEL_STYL_3,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_ACCOMPANY
366,a006548,3,5,1,2,3,2,2인 여행(가족 외)
367,b013622,3,3,3,6,3,5,3인 이상 여행(가족 외)
368,a004301,6,1,2,3,3,3,2인 여행(가족 외)
369,a013755,7,4,1,1,1,1,3인 이상 여행(가족 외)
370,a001464,2,5,2,5,5,3,자녀 동반 여행
371,a000219,4,2,6,6,6,6,자녀 동반 여행
372,a001857,6,3,2,5,6,6,나홀로 여행
373,a014793,6,6,6,6,6,6,나홀로 여행
374,a006467,2,2,1,1,2,5,3대 동반 여행(친척 포함)
375,a013881,6,2,6,3,1,6,나홀로 여행
376,d000562,1,1,2,6,7,7,나홀로 여행
377,a007403,2,4,2,4,2,4,자녀 동반 여행
378,a017669,7,7,1,1,1,7,나홀로 여행
379,a006004,2,3,2,5,2,2,나홀로 여행
380,a007344,4,1,1,2,1,7,3인 이상 여행(가족 외)
381,a002612,3,3,3,5,3,5,자녀 동반 여행
382,a002497,2,2,2,2,4,3,3인 이상 여행(가족 외)
383,a000800,3,1,2,6,3,6,2인 여행(가족 외)
384,a006044,5,4,3,3,3,4,나홀로 여행
385,a018143,1,3,6,5,6,3,나홀로 여행
386,a007234,3,5,3,6,7,7,2인 여행(가족 외)
387,c002983,2,2,3,4,3,4,자녀 동반 여행
388,a004284,6,4,2,4,3,2,자녀 동반 여행
389,a003224,5,2,3,3,5,3,나홀로 여행
390,a005188,1,1,1,1,1,4,나홀로 여행
391,a002002,6,4,3,4,1,6,나홀로 여행
392,a005631,2,1,1,7,2,7,2인 가족 여행
393,a001885,4,4,4,7,7,7,나홀로 여행
394,a006378,4,3,5,3,4,5,2인 여행(가족 외)
395,a008173,1,1,1,1,7,1,나홀로 여행
396,a005205,2,4,4,5,6,4,부모 동반 여행
397,a002835,2,1,4,1,6,6,3인 이상 여행(가족 외)
398,a002940,3,1,1,4,7,5,2인 여행(가족 외)
399,a018009,3,6,1,6,2,6,나홀로 여행
400,a001452,2,6,7,4,2,6,나홀로 여행
401,a012289,2,3,3,6,2,6,2인 여행(가족 외)
402,a001898,6,4,4,5,4,4,나홀로 여행
403,a008166,3,3,2,5,3,5,3인 이상 여행(가족 외)
404,a000770,2,1,7,2,2,4,2인 여행(가족 외)
405,a011577,6,6,4,4,4,6,2인 가족 여행
406,a001366,2,1,6,6,2,3,나홀로 여행
407,a008397,4,3,2,2,2,2,자녀 동반 여행
408,a003316,2,3,4,1,2,6,2인 가족 여행
409,a015272,2,3,4,5,1,3,2인 여행(가족 외)
410,a007598,1,1,1,1,1,7,나홀로 여행
411,a015406,3,2,5,6,6,2,2인 여행(가족 외)
412,a000784,1,1,7,6,2,5,부모 동반 여행
413,a000383,3,2,4,4,2,6,3인 이상 여행(가족 외)
414,a000430,1,2,3,4,5,2,2인 여행(가족 외)
415,a007347,5,6,5,3,4,5,나홀로 여행
416,a000231,2,3,3,5,5,3,3대 동반 여행(친척 포함)
417,a017866,4,4,4,4,5,4,나홀로 여행
418,a005559,3,3,2,5,3,6,2인 여행(가족 외)
419,a003230,6,2,6,4,3,6,나홀로 여행
420,a000975,4,3,4,4,3,4,2인 여행(가족 외)
421,a003121,7,2,3,2,5,6,2인 여행(가족 외)
422,a014724,5,3,4,3,2,5,나홀로 여행
423,a008659,2,2,4,4,7,6,2인 여행(가족 외)
424,a007079,5,1,3,7,5,6,나홀로 여행
425,a002760,1,2,6,3,6,6,2인 여행(가족 외)
426,a017665,4,5,6,5,4,5,나홀로 여행
427,a007655,3,3,3,3,3,5,나홀로 여행
428,a001415,4,2,3,4,2,4,자녀 동반 여행
429,a005678,2,2,2,6,6,7,2인 여행(가족 외)
430,a001764,7,5,1,1,7,7,나홀로 여행
431,a007945,5,2,6,4,6,4,3인 이상 여행(가족 외)
432,a000851,4,4,5,5,6,5,자녀 동반 여행
433,a014835,4,4,1,4,7,4,2인 여행(가족 외)
434,a003046,4,4,1,5,6,6,2인 가족 여행
435,a007078,6,2,6,2,3,6,2인 여행(가족 외)
436,a004612,1,1,7,6,6,7,2인 여행(가족 외)
437,a008134,1,2,4,1,4,6,나홀로 여행
438,a009629,4,4,4,4,4,4,3인 이상 여행(가족 외)
439,a006537,7,2,3,3,6,3,2인 여행(가족 외)
440,a007406,4,1,3,2,2,6,나홀로 여행
441,a006424,3,4,3,3,2,2,나홀로 여행
442,a000165,1,2,1,3,6,6,2인 여행(가족 외)
443,a002891,2,2,1,6,2,7,2인 가족 여행
444,a004269,6,6,2,6,6,6,자녀 동반 여행
445,a004100,4,3,2,5,5,6,나홀로 여행
446,a018132,2,2,4,4,1,3,2인 여행(가족 외)
447,a004205,2,2,6,4,5,5,2인 여행(가족 외)
