,TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,MVMN_NM,VISIT_MM
2089,a_a003721,A01,a003721,2,10
2090,a_a009988,A02,a009988,2,10
2091,a_a018169,A03,a018169,0,11
2092,a_a000815,A03,a000815,1,08
2093,a_a002612,A01,a002612,1,09
2094,c_c011906,A03,c011906,0,10
2095,a_a002786,A01,a002786,2,09
2096,a_a009668,A01,a009668,2,10
2097,a_a004541,A01,a004541,2,10
2098,a_a000425,A01,a000425,2,08
2099,a_a001840,A03,a001840,2,09
2100,a_a002878,A01,a002878,2,10
2101,a_a005696,A03,a005696,2,10
2102,a_a005389,A03,a005389,1,10
2103,a_a010425,A01,a010425,1,10
2104,a_a006664,A02,a006664,2,10
2105,a_a000972,A03,a000972,1,08
2106,a_a001261,A03,a001261,2,08
2107,a_a010533,A03,a010533,1,10
2108,a_a007403,A03,a007403,0,10
2109,a_a011761,A01,a011761,1,10
2110,a_a002096,A03,a002096,1,09
2111,a_a003082,A03,a003082,1,09
2112,a_a011870,A01,a011870,2,10
2113,a_a006324,A03,a006324,1,10
2114,a_a007078,A02,a007078,2,10
2115,a_a014823,A03,a014823,2,11
2116,a_a001914,A01,a001914,2,09
2117,a_a003044,A03,a003044,2,10
2118,a_a017911,A03,a017911,0,11
2119,a_a007597,A03,a007597,0,10
2120,a_a002573,A01,a002573,1,09
2121,a_a005013,A03,a005013,1,10
2122,a_a002906,A03,a002906,1,09
2123,a_a006972,A03,a006972,2,10
2124,a_a007171,A03,a007171,1,10
2125,d_d004784,A01,d004784,1,10
2126,a_a018183,A01,a018183,0,11
2127,a_a000550,A01,a000550,1,08
2128,a_a000832,A03,a000832,2,09
2129,a_a000678,A03,a000678,1,09
2130,a_a007214,A03,a007214,0,10
2131,a_a005136,A03,a005136,0,10
2132,a_a007606,A03,a007606,0,10
2133,a_a006071,A01,a006071,2,10
2134,a_a002476,A03,a002476,1,09
2135,a_a003046,A03,a003046,1,09
2136,a_a008285,A03,a008285,1,10
2137,a_a001937,A01,a001937,2,09
2138,a_a005474,A03,a005474,2,10
2139,a_a018045,A01,a018045,0,11
2140,a_a014102,A03,a014102,1,10
2141,a_a000928,A03,a000928,1,08
2142,a_a005334,A03,a005334,1,10
2143,a_a007365,A03,a007365,0,10
2144,a_a001297,A02,a001297,2,09
2145,a_a003712,A03,a003712,1,11
2146,a_a007328,A01,a007328,0,10
