,VISIT_AREA_ID,TRAVEL_ID,VISIT_AREA_NM,LOTNO_ADDR,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,VISIT_MM,VISIT_ID,RATING
23328,2210280006,a_a009822,창덕궁,서울 종로구 와룡동 2-71,90.0,2,0.0,4.0,5.0,4.0,10,3084,14.0
23329,2210300005,a_a010281,어둠속의대화,서울 종로구 가회동 1-29,150.0,3,0.0,5.0,5.0,5.0,10,2247,16.5
23341,2210080005,a_a005134,대공원포도밭,경기 과천시 막계동 320-4,90.0,13,0.0,4.0,4.0,4.0,10,759,13.2
23346,2210290009,a_a010954,더현대서울,서울 영등포구 여의도동 22,30.0,4,0.0,5.0,4.0,5.0,10,823,15.7
23349,2209290001,a_a002819,용인시박물관,경기 용인시 기흥구 중동 862,60.0,2,0.0,5.0,4.0,5.0,09,2521,15.7
23352,2210150005,a_a007385,큐씨어터,,90.0,3,0.0,5.0,5.0,5.0,10,3247,16.5
23354,2210160003,a_a008261,광화문,서울 종로구 세종로 1-58,30.0,2,0.0,3.0,3.0,3.0,10,414,9.9
23361,2210230005,a_a008209,남산공원 N서울타워,서울 용산구 용산동2가 산 1-3,120.0,1,1.0,5.0,5.0,5.0,10,629,16.5
23362,2210090013,a_a006656,에버랜드 판다월드,경기 용인시 처인구 포곡읍 전대리 519-19,30.0,6,1.0,5.0,5.0,5.0,10,2279,16.5
23364,2210210011,a_a005375,행리단길,경기 수원시 팔달구 장안동 290-3,30.0,4,0.0,5.0,5.0,5.0,10,3589,16.5
23369,2210090002,a_a006041,더현대서울,서울 영등포구 여의도동 22,150.0,4,1.0,4.0,5.0,4.0,10,823,14.0
23374,2210220004,a_a005056,칸트의마을,경기 양평군 강하면 운심리 237-2,150.0,7,0.0,5.0,5.0,5.0,10,3201,16.5
23379,2211120008,a_a017797,행리단길,경기 수원시 팔달구 장안동 290-3,30.0,7,0.0,4.0,4.0,4.0,11,3589,13.2
23382,2211050004,a_a011455,현대백화점 신촌점,서울 서대문구 창천동 30-33,60.0,4,1.0,5.0,5.0,5.0,11,3631,16.5
23383,2208270004,a_a000360,신복천 냇가,경기도 양평군 옥천면,30.0,1,0.0,5.0,2.0,3.0,08,2019,12.1
23385,2209110004,a_a002183,철도박물관,경기 의왕시 월암동 374-1,30.0,2,0.0,3.0,3.0,3.0,09,3109,9.9
23389,2210150006,a_a004030,송도센트럴파크,인천 연수구 송도동 24-5,30.0,7,0.0,5.0,4.0,5.0,10,1822,15.7
23394,2210080003,b_b006838,웨이브파크,경기 시흥시 정왕동,360.0,5,0.0,4.0,3.0,3.0,10,2596,11.4
23396,2210090005,a_a006412,부평역지하상가,인천 부평구 부평동 224-1,60.0,4,0.0,4.0,3.0,4.0,10,1399,12.4
23398,2210020002,a_a002253,포천아트밸리,경기 포천시 신북면 기지리 282,60.0,1,0.0,4.0,2.0,3.0,10,3414,10.6
23402,2210010005,a_a002259,두타몰,서울 중구 을지로6가 18-12,90.0,4,1.0,4.0,4.0,4.0,10,919,13.2
23404,2210290005,a_a010563,수봉공원인공폭포,인천 미추홀구 도화동 597-126,30.0,1,0.0,2.0,2.0,3.0,10,1853,7.6
23409,2210150017,a_a006619,월미테마파크,,120.0,6,1.0,5.0,5.0,5.0,10,2582,16.5
23411,2209020002,a_a000222,재즈페스티벌,,60.0,8,0.0,5.0,5.0,5.0,09,2950,16.5
23416,2210090003,a_a006423,꽃꽃한당신,경기 화성시 방교동 751-5,60.0,3,0.0,4.0,3.0,4.0,10,574,12.4
23420,2210150004,a_a006636,인생네컷 문래점,서울 영등포구 문래동2가 41-1,60.0,4,0.0,5.0,5.0,5.0,10,2802,16.5
23422,2209240002,a_a002468,김포한옥마을,,480.0,7,1.0,5.0,5.0,5.0,09,568,16.5
23423,2209090003,a_a001617,남한산성,경기 광주시 남한산성면 산성리 산 23,90.0,2,1.0,5.0,5.0,5.0,09,648,16.5
23427,2211110006,a_a018035,왕송호수,경기 의왕시 초평동,30.0,1,1.0,4.0,4.0,4.0,11,2485,13.2
23438,2209060003,a_a000805,청계천,서울 종로구 서린동 148,30.0,1,0.0,4.0,4.0,4.0,09,3124,13.2
23445,2210010008,a_a004341,롯데백화점 본점,서울 중구 소공동 1,90.0,4,0.0,5.0,5.0,5.0,10,1022,16.5
23447,2209020006,a_a000600,월미도,인천 중구 북성동1가 산 1,60.0,1,0.0,5.0,5.0,5.0,09,2573,16.5
23449,2210150005,a_a006716,일산호수공원,,60.0,1,1.0,5.0,5.0,5.0,10,2871,16.5
23459,2209030019,a_a000704,압구정로 거리,,0.0,4,0.0,5.0,5.0,5.0,09,2199,16.5
23462,2210310003,a_a009817,경복궁,서울 종로구 세종로 1-91,30.0,2,1.0,5.0,5.0,5.0,10,258,16.5
23466,2210090004,a_a003187,고모저수지,경기 포천시 소흘읍 고모리,30.0,1,1.0,5.0,4.0,4.0,10,302,14.7
23468,2210220004,a_a006662,롯데프리미엄아울렛 타임빌라스,경기 의왕시 학의동 1039,60.0,4,1.0,4.0,4.0,4.0,10,1069,13.2
23472,2210080004,a_a006429,도덕산,경기 광명시 광명동 산 137,30.0,7,0.0,4.0,4.0,3.0,10,846,12.2
23473,2209230004,a_a001904,심야의숲,서울 성동구 성수동2가 277-138,60.0,3,0.0,4.0,3.0,4.0,09,2057,12.4
23478,2210090002,a_a004237,파주프리미엄아울렛,경기 파주시 탄현면 법흥리 1790-8,60.0,4,1.0,4.0,4.0,4.0,10,3347,13.2
23479,2209020002,a_a000655,예래원,경기 동두천시 탑동동 산 1,30.0,6,1.0,5.0,5.0,5.0,09,2395,16.5
23481,2209250003,a_a001778,소노휴 양평,경기 양평군 개군면 공세리 389-7,30.0,7,0.0,3.0,4.0,4.0,09,1768,11.7
23482,2209230004,a_a001887,국립현대미술관 과천관,경기 과천시 막계동 산 48-3,120.0,3,0.0,4.0,4.0,4.0,09,487,13.2
23489,2209030001,a_a001261,킨텍스 제2전시장,경기 고양시 일산서구 대화동 2700,210.0,3,1.0,5.0,5.0,5.0,09,3262,16.5
23496,2210290003,c_c005193,국립중앙박물관,서울 용산구 용산동6가 168-6,90.0,2,1.0,4.0,4.0,4.0,10,478,13.2
23497,2210180006,a_a007423,하늘공원 메타세콰이어길,서울 마포구 상암동 482-49,90.0,7,1.0,4.0,4.0,4.0,10,3486,13.2
23498,2210080007,a_a003308,행궁동벽화마을,경기 수원시 팔달구 북수동,30.0,7,0.0,5.0,5.0,5.0,10,3586,16.5
23508,2210150004,a_a007179,동막해수욕장,,120.0,1,0.0,4.0,4.0,4.0,10,885,13.2
23510,2209050002,a_a000396,경춘선숲길,서울 노원구 공릉동,60.0,1,0.0,5.0,5.0,5.0,09,279,16.5
23514,2211120005,a_a018070,마장호수,경기 파주시 광탄면 기산리 451-2,90.0,1,0.0,4.0,4.0,4.0,11,1097,13.2
23515,2208210008,a_a000246,광화문광장,서울 종로구 세종로 1-68,30.0,7,1.0,4.0,4.0,4.0,08,415,13.2
23516,2209300005,a_a002924,남산공원,서울 중구 예장동 산 5-6,60.0,1,0.0,4.0,4.0,4.0,09,627,13.2
23518,2210070007,a_a004604,세미원,경기 양평군 양서면 용담리 430-6,60.0,7,0.0,4.0,4.0,4.0,10,1737,13.2
23522,2208180003,a_a000251,송도센트럴파크 이스트보트하우스,인천 연수구 송도동 24-5,30.0,5,0.0,4.0,3.0,3.0,08,1824,11.4
23524,2210220002,a_a009429,노룬산골목시장,서울 광진구 자양동 559-2,0.0,4,1.0,4.0,4.0,4.0,10,677,13.2
23527,2210300003,a_a014133,서울대공원,경기 과천시 막계동 159-1,240.0,6,0.0,5.0,5.0,5.0,10,1578,16.5
23528,2208260003,a_a000620,화정천,경기 안산시 단원구 초지동,30.0,7,1.0,5.0,5.0,5.0,08,3763,16.5
23531,2208250006,a_a000358,더현대서울,서울 영등포구 여의도동 22,60.0,1,1.0,5.0,5.0,5.0,08,823,16.5
23533,2211020004,b_b011114,덕수궁돌담길,서울 중구 정동 5-1,30.0,2,0.0,4.0,4.0,4.0,11,834,13.2
23534,2209100004,a_a002056,경복궁,서울 종로구 세종로 1-91,90.0,2,1.0,5.0,4.0,5.0,09,258,15.7
23536,2209170004,a_a001931,효원공원 월화원,경기 수원시 팔달구 인계동 1117,30.0,1,0.0,3.0,2.0,2.0,09,3787,8.1
23544,2209010004,a_a000712,운악채한옥마을,경기 가평군 조종면 운악리 421-12,480.0,7,0.0,5.0,5.0,5.0,09,2546,16.5
23545,2210080002,a_a004420,가평레저파크,경기 가평군 북면 목동리 734-1,30.0,5,0.0,4.0,5.0,4.0,10,147,14.0
23547,2210020005,a_a005075,지동시장,경기 수원시 팔달구 지동 402-2,30.0,4,0.0,2.0,4.0,4.0,10,3052,10.2
23549,2210010005,a_a002301,니지모리스튜디오,경기 동두천시 탑동동 885-12,120.0,2,0.0,4.0,4.0,4.0,10,726,13.2
23550,2209110004,a_a001672,화성관광열차안내소 연무대매표소,경기 수원시 팔달구 매향동 3-32,60.0,13,0.0,5.0,5.0,5.0,09,3741,16.5
23553,2211120005,a_a017905,롯데아울렛 서울역점,서울 중구 봉래동2가 122-11,30.0,4,1.0,4.0,3.0,3.0,11,1051,11.4
23555,2209180002,a_a001776,인천상륙작전기념관,인천 연수구 옥련동 525-11,60.0,2,0.0,4.0,4.0,3.0,09,2841,12.2
23558,2208190008,a_a000632,국립현대미술관 서울관,서울 종로구 소격동 165-10,120.0,3,0.0,5.0,5.0,5.0,08,489,16.5
23559,2209010008,a_a000741,평화시장,서울 중구 을지로6가 17-48,90.0,4,0.0,5.0,5.0,5.0,09,3398,16.5
23562,2210220004,a_a009448,이마트 계양점,인천 계양구 작전동 911-1,90.0,4,0.0,5.0,5.0,5.0,10,2686,16.5
23564,2210280008,a_a009822,남산골한옥마을,서울 중구 필동2가 84-1,60.0,7,0.0,4.0,3.0,3.0,10,626,11.4
23572,2209030004,a_a001525,IFC몰,서울 영등포구 여의도동 23-1,120.0,4,0.0,5.0,5.0,5.0,09,68,16.5
